year,AL,AT,BA,BE,BG,CY,CZ,DE,DK,EA19,EE,EL,ES,EU27_2020,EU28,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK
2004,"0,0","1890,439","0,0","1037,8890000000001","0,0","0,0","713,3709999999999","10499,0","2907,0","39691,172999999995","30,0","124,163","3329,5989999999997","52193,012","59548,161","10439,556999999999","3312,0","4,0","725,3720000000001","109,0","2,2640000000000002","4220,849","6,113","42,575","37,718","0,0","0,0","0,0","2929,567","359,0","982,744","1541,9299999999998","4,0","0,0","7165,352","120,774","20,0","76,0","7355,149","0,0"
2005,"0,0","2378,382","0,0","1509,042","0,0","0,0","731,7209999999999","14592,0","3173,0","44725,361000000004","35,331","121,52","2652,8410000000003","59243,505","68346,804","9512,216","3391,0","14,0","1657,36","130,262","4,215","4674,352","6,659000000000001","46,163","41,811","0,0","0,0","0,0","3807,366","333,0","1511,127","1680,6929999999998","6,0","0,0","7424,936000000001","113,72300000000001","32,0","34,0","9103,298999999999","0,0"
2006,"0,0","3167,1289999999995","0,0","1999,3980000000001","0,0","0,155","918,167","18217,0","3068,0","51587,651","40,0","114,125","2774,0","66963,606","76241,481","10813,939999999999","3377,0","11,0","1264,51","128,433","1,995","5106,831999999999","24,757","55,215999999999994","42,577999999999996","0,0","0,0","0,0","3513,525","388,0","1992,79","1704,9940000000001","4,453","0,0","8117,035","110,255","398,314","57,849999999999994","9277,875","0,0"
2007,"0,0","3987,5330000000004","0,0","2403,467","0,0","1,4369999999999998","1195,259","23669,0","3104,0","58795,855","32,955","184,0","2898,0","76924,667","86250,16799999999","9954,877","3751,0","7,0","1561,983","170,007","0,744","5257,1939999999995","54,709","62,667","41,528000000000006","0,0","0,0","0,0","3876,38","386,0","2555,574","1863,9470000000001","35,996","0,0","9669,0","113,154","474,0","94,94200000000001","9325,501","0,0"
2008,"0,0","4122,2300000000005","0,0","3187,45","15,532","11,54","1449,079","26928,0","3139,0","65763,765","36,638","191,356","3254,466","86200,132","95767,36899999999","10404,637999999999","3971,0","21,099999999999998","1938,549","208,885","0,46399999999999997","5901,785999999999","68,73400000000001","69,648","44,78","0,0","0,0","0,0","4704,842","397,0","3618,232","1852,457","23,881","0,0","10230,993999999999","288,315","517,0","142,29500000000002","9567,237000000001","0,0"
2009,"0,0","4236,650000000001","0,0","3589,345","7,402","26,518","1848,464","29253,0","3319,0","69425,093","312,779","217,572","3488,0","93379,068","104094,391","8733,982","4130,0","24,969","2334,8379999999997","251,584","0,529","6108,898","102,096","78,18499999999999","47,876","0,0","0,0","0,0","6037,545","227,0","5223,353","2085,7909999999997","10,539000000000001","0,0","11185,41","188,272","537,0","251,651","10715,323","0,0"
2010,"0,0","4450,398","0,0","4061,78","35,239000000000004","35,124","2162,4869999999996","32646,0","4593,0869999999995","79006,73800000001","740,0100000000001","190,0","4015,0","106553,027","118815,287","10974,214000000002","4441,0","33,037","2296,4590000000003","314,41600000000005","0,0","6361,691999999999","146,801","84,14","65,09899999999999","0,0","0,0","0,0","6988,498","344,0","6303,59","2613,689","110,49","0,0","12011,9","216,87699999999998","662,0","332,904","12262,26","0,0"
2011,"0,0","4547,755","0,0","4475,572","55,737","51,61","2703,475","36508,0","4374,861","87346,796","781,033","206,815","4609,0","115724,34","129038,365","11244,833","5036,348","54,245000000000005","1859,025","336,05","0,0","8134,896000000001","157,984","92,97900000000001","118,18599999999999","0,0","0,0","4,91","7046,528","339,0","7599,5109999999995","2923,5449999999996","196,69000000000003","0,0","11534,0","251,752","819,0","342,841","13314,025000000001","0,0"
2012,"0,0","4678,7","0,0","5053,077","65,827","49,818999999999996","3371,706","42957,0","4445,952","97155,897","1000,903","204,294","4977,0","129282,85399999999","144017,691","11199,985999999999","5255,787","93,90599999999999","1654,8270000000002","442,796","0,0","9365,386999999999","217,615","94,011","287,78599999999994","0,0","0,0","8,896","7203,895","326,0","10094,05","2950,6549999999997","211,689","6,0","12189,0","267,28999999999996","941,0","591,932","14734,837000000001","0,0"
2013,"0,0","4695,706999999999","0,0","4857,788","111,713","48,864","4060,7060000000006","45226,0","4312,412","104009,186","665,0","216,40900000000002","5798,789","134655,537","152756,386","12010,92","5537,269","125,695","1832,038","485,881","0,0","13332,354","356,575","94,21100000000001","501,30100000000004","0,0","0,0","5,892","5954,377","396,0","8621,536","3051,0910000000003","251,25100000000003","20,001","11331,0","259,758","911,0","878,618","18100,849","0,0"
2014,"0,0","4547,593000000001","0,0","4383,2","200,792","50,482","4663,526","47954,0","4294,557","106848,878","758,0","219,66099999999997","5413,754","139426,41400000002","162046,477","11758,287999999999","5908,862","164,57800000000003","2126,388","540,975","0,0","14391,315000000002","399,864","115,225","668,961","0,0","0,0","6,452000000000001","5012,805","258,0","9976,475999999999","3047,8839999999996","504,21900000000005","22,001","10647,0","254,557","1417,0","1080,1390000000001","22620,063","0,0"
2015,"0,0","4647,553","0,0","5433,9","270,185","51,236000000000004","4789,11","49900,0","4175,45","111018,12400000001","760,0","231,42600000000002","5763,844999999999","143872,365","172341,822","11416,81","6521,134","265,181","2161,232","478,58700000000005","0,0","14501,612000000001","446,52600000000007","125,964","769,495","0,0","20,219","6,645","4933,883","256,0","9933,041","3103,923","523,042","23,001","10737,0","263,58500000000004","1662,0","1239,64","28469,457000000002","0,0"
2016,"0,0","4779,596","0,0","5418,8","353,61400000000003","52,021","4755,33","50439,0","4842,463","113465,335","885,0","274,22999999999996","5689,929999999999","145844,11000000002","174495,53799999997","11518,892","7533,777","431,42400000000004","2071,1240000000003","679,2159999999999","0,0","14798,714999999998","439,325","140,018","823,794","0,0","36,033","8,307","4904,553","233,0","7953,05","3070,446","530,692","34,001","11441,078","278,71500000000003","1731,0","1633,378","28651,428","0,0"
2017,"0,0","4920,611","6,0","5741,5","395,981","51,75","4966,978","50479,0","6262,482999999999","115301,15100000001","1037,701","310,028","6078,0","148656,016","178680,06600000002","11853,129","7765,880999999999","525,6","2154,0","732,899","0,0","14914,588999999998","503,64799999999997","171,453","930,64","0,0","51,551","9,736","4599,347","241,0","6485,655","3220,2969999999996","525,168","75,188","12039,0","284,942","1696,0","2094,022","30024,049999999996","0,0"
2018,"0,0","4929,7","8,0","5396,6","1492,328","56,896","4828,278","50406,0","5897,648","116567,812","1307,0","314,07","5899,0","150590,163","183460,274","12903,321000000002","8335,258000000002","668,0999999999999","2292,0","844,058","0,0","14861,880000000001","543,0","217,40200000000002","943,625","0,0","54,05","8,952","4555,228","203,98800000000003","6545,866999999999","3155,846","437,13","101,72200000000001","11861,0","264,976","1625,0","2644,454","32870,111","0,0"
